score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004133,GCST90446794,GCST90446795,FINNGEN_R12_K11_UC_STRICT2,GCST003097_2,GCST005537,GCST000964,GCST010001,GCST90473823,GCST90454275,GCST90044155,GCST90475322,GCST90436337,GCST000527,GCST90479622,GCST90018933,GCST90476067,GCST90129459,FINNGEN_R12_ULCERNAS,GCST90038684,GCST000624,GCST90468152,GCST90480319,GCST000623,GCST000243,FINNGEN_R12_ULCEROTH,GCST000529,GCST001728,GCST001118,GCST001938,GCST000311,GCST008658,GCST90480318,GCST90479621,GCST90018713,GCST90454587,GCST003960,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.318251848239721,ENSG00000115594,IL1R1,protein_coding,0.510647722205439,NA,NA,GCST000964,0.839976727962494,NA,NA,NA,NA,NA,NA,0.8399767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IL1R1,3554,GWAS,1,267,28
0.318024301517184,ENSG00000111252,SH2B3,protein_coding,0.521454017730687,NA,NA,GCST005537,0.85775226354599,NA,NA,NA,NA,NA,0.8577523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SH2B3,10019,GWAS,1,100,12
0.317710032848151,ENSG00000100281,HMGXB4,protein_coding,0.522608879326954,NA,NA,GCST90446794,0.859651923179626,NA,0.8596519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,HMGXB4,10042,GWAS,1,42,0
0.316472376361757,ENSG00000136546,SCN7A,protein_coding,0.516013547403846,NA,NA,GCST90479621,0.848803102970123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8488031,NA,NA,NA,NA,1,SCN7A,6332,GWAS,1,60,1
0.316457854450968,ENSG00000056972,TRAF3IP2,protein_coding,0.517373293571689,NA,NA,GCST004133/GCST90446794,0.702311396598816/0.59491354227066,0.7023114,0.5949135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRAF3IP2,10758,GWAS,1,50,6
0.315579132937032,ENSG00000125633,CCDC93,protein_coding,0.519103710779004,NA,NA,GCST90480319,0.853886187076569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8538862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CCDC93,54520,GWAS,1,47,0
0.314967016773882,ENSG00000160013,PTGIR,protein_coding,0.512170664002982,NA,NA,GCST001728,0.842481851577759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8424819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PTGIR,5739,GWAS,1,51,1
0.314721887012258,ENSG00000157570,TSPAN18,protein_coding,0.517693606326093,NA,NA,GCST90480319,0.851566672325134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8515667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TSPAN18,90139,GWAS,1,10,0
0.314570946524617,ENSG00000091164,TXNL1,protein_coding,0.517445320685303,NA,NA,GCST90479621,0.851158261299133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8511583,NA,NA,NA,NA,1,TXNL1,9352,GWAS,1,103,0
0.314570946524617,ENSG00000048540,LMO3,protein_coding,0.517445320685303,NA,NA,GCST90479621,0.851158261299133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8511583,NA,NA,NA,NA,1,LMO3,55885,GWAS,1,31,0
